"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "JSON with Comments", "Groovy", "Java Properties", "XML", "TypeScript", "Objective-C", "Batch", "C++", "Objective-C++", "Ignore", "Java", "comment", "blank", "total"
"d:\StayFocus\.eslintrc.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\StayFocus\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\StayFocus\.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\StayFocus\.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\StayFocus\App.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 79
"d:\StayFocus\__tests__\App-test.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"d:\StayFocus\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 32, 320
"d:\StayFocus\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\StayFocus\android\app\src\debug\java\com\stayfocus\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 8, 6, 74
"d:\StayFocus\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\StayFocus\android\app\src\main\java\com\stayfocus\LockDetectionModule.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 3, 10, 56
